"","x","y"
"1",0.01164,5.2
"2",0.23224,5.6
"3",0.610856,17.6
"4",2.605792,35.8
"5",4.96524,50.8
"6",6.69792,71
"7",10.615488,86.8
"8",16.0672,108.2
"9",21.674056,127.2
"10",32.058272,144.3
"11",41.299056,160
"12",54.44276,173.8
"13",66.979224,191.3
"14",84.321848,205.9
"15",103.738536,223.9
"16",130.59908,241.2
"17",157.014624,249.5
"18",184.476104,248
"19",216.74052,248
"20",254.647912,248
"21",0.01164,8.6
"22",0.23224,8.7
"23",0.610856,18.9
"24",2.605792,37.1
"25",4.96524,52.5
"26",6.69792,72.8
"27",10.615488,90.1
"28",16.0672,110.4
"29",21.674056,129.1
"30",32.058272,145.9
"31",41.299056,162.7
"32",54.44276,175.8
"33",66.979224,193.5
"34",84.321848,207.7
"35",103.738536,225.8
"36",130.59908,242.6
"37",157.014624,249.3
"38",184.476104,248
"39",216.74052,248
"40",254.647912,248
"41",0.00582,10.6
"42",0.11612,10.7
"43",0.305428,14.9
"44",1.302896,24.3
"45",2.48262,33.6
"46",3.34896,48.9
"47",5.307744,59.2
"48",8.0336,74.8
"49",10.837028,90.9
"50",16.029136,106.5
"51",20.649528,123
"52",27.22138,134.8
"53",33.489612,149
"54",42.160924,159.9
"55",51.869268,173.4
"56",65.299540032,185.4
"57",78.507312,200.6
"58",92.238052032,212.3
"59",108.370260032,227.4
"60",127.323956032,240.2
