Luminance1 ,Y1,Luminance2 ,Y2,Luminance3,Y3
0.01455,5.2,0.0036375,8.6,0.000909375,10.6
0.2903,5.6,0.072575,8.7,0.01814375,10.7
0.76357,17.6,0.1908925,18.9,0.047723125,14.9
3.25724,35.8,0.81431,37.1,0.2035775,24.3
6.20655,50.8,1.5516375,52.5,0.387909375,33.6
8.3724,71,2.0931,72.8,0.523275,48.9
13.26936,86.8,3.31734,90.1,0.829335,59.2
20.084,108.2,5.021,110.4,1.25525,74.8
27.09257,127.2,6.7731425,129.1,1.693285625,90.9
40.07284,144.3,10.01821,145.9,2.5045525,106.5
51.62382,160,12.905955,162.7,3.22648875,123
68.05345,173.8,17.0133625,175.8,4.253340625,134.8
83.72403,191.3,20.9310075,193.5,5.232751875,149
105.40231,205.9,26.3505775,207.7,6.587644375,159.9
129.67317,223.9,32.4182925,225.8,8.104573125,173.4
163.24885,241.2,40.8122125,242.6,10.20305313,185.4
196.26828,249.5,49.06707,249.3,12.2667675,200.6
230.59513,248,57.6487825,248,14.41219563,212.3
270.92565,248,67.7314125,248,16.93285313,227.4
318.30989,248,79.5774725,248,19.89436813,240.2
